actions,class_abilities,description,etats,exhaustion,image_url,images,internal_links,introduction,links,prerequisites,reactions,sections,skills,source,special_boxes,stats,table,tables,title,titre,traduction,type_rarete,url
"['Serres. Attaque au corps à corps avec une arme : +4 au toucher, allonge 1,50 m, une cible. Touché\xa0: 4 (1d4 + 2) dégâts tranchants.', 'Javeline. Attaque au corps à corps ou à distance avec une arme : +4 au toucher, allonge 1,50 m ou portée 9/36 m, une cible. Touché\xa0: 5 (1d6 + 2) dégâts perforants.']",,,,,https://www.aidedd.org/dnd/images/aarakocra.jpg,,,,,"Humanoïde (aarakocra) de taille M, neutre bon",[],,"['Serres. Attaque au corps à corps avec une arme : +4 au toucher, allonge 1,50 m, une cible. Touché\xa0: 4 (1d4 + 2) dégâts tranchants.', 'Javeline. Attaque au corps à corps ou à distance avec une arme : +4 au toucher, allonge 1,50 m ou portée 9/36 m, une cible. Touché\xa0: 5 (1d6 + 2) dégâts perforants.']",Monster Manual (BR+),,"[""Classe d'armure"", '12', 'Points de vie', '13 (3d8)', 'Vitesse', '6 m, vol 15 m', 'FOR', '10 (+0)', 'DEX', '14 (+2)', 'CON', '10 (+0)', 'INT', '11 (+0)', 'SAG', '12 (+1)', 'CHA', '11 (+0)', 'Compétences', 'Perception +5', 'Sens', 'Perception passive 15', 'Langues', 'aérien, aarakocra', 'Puissance', '1/4 (50 PX)']",,,Aarakocra,,,,https://www.aidedd.org/dnd/monstres.php?vf=aarakocra
[],,Non spécifié,,,https://www.aidedd.org/dnd/images/white-abishai.jpg,,,,,"Fiélon (diable) de taille M, typiquement loyal mauvais",[],,,Monsters of the Multiverse,,"[""Classe d'armure"", '15 (armure naturelle)', 'Points de vie', '68 (8d8 + 32)', 'Vitesse', '9 m, vol 12 m', 'FOR', '16 (+3)', 'DEX', '11 (+0)', 'CON', '18 (+4)', 'INT', '11 (+0)', 'SAG', '12 (+1)', 'CHA', '13 (+1)', 'Jets de sauvegarde', 'For +6, Con +7', 'Résistances aux dégâts', ""contondant, perforant et tranchant d'attaques non magiques qui ne sont pas en argent"", 'Immunités aux dégâts', 'froid, feu, poison', 'Immunités aux états', 'empoisonné', 'Sens', 'vision dans le noir 36 m, Perception passive 11', 'Langues', 'draconique, infernal, télépathie 36 m', 'Puissance', '6 (2300 PX)', 'Bonus de maîtrise', '+3']",,,Abishaï blanc,,,,https://www.aidedd.org/dnd/monstres.php?vf=abishai-blanc
[],,Non spécifié,,,https://www.aidedd.org/dnd/images/blue-abishai.jpg,,,,,"Fiélon (diable, magicien) de taille M, typiquement loyal mauvais",[],,,Monsters of the Multiverse,,"[""Classe d'armure"", '19 (armure naturelle)', 'Points de vie', '202 (27d8 + 81)', 'Vitesse', '9 m, vol 15 m', 'FOR', '15 (+2)', 'DEX', '14 (+2)', 'CON', '17 (+3)', 'INT', '22 (+6)', 'SAG', '23 (+6)', 'CHA', '18 (+4)', 'Jets de sauvegarde', 'Int +12, Sag +12', 'Compétences', 'Arcanes +12', 'Résistances aux dégâts', ""froid ; contondant, perforant et tranchant d'attaques non magiques qui ne sont pas en argent"", 'Immunités aux dégâts', 'feu, foudre, poison', 'Immunités aux états', 'empoisonné', 'Sens', 'vision dans le noir 36 m, Perception passive 16', 'Langues', 'draconique, infernal, télépathie 36 m', 'Puissance', '17 (18000 PX)', 'Bonus de maîtrise', '+6']",,,Abishaï bleu,,,,https://www.aidedd.org/dnd/monstres.php?vf=abishai-bleu
[],,Non spécifié,,,https://www.aidedd.org/dnd/images/black-abishai.jpg,,,,,"Fiélon (diable) de taille M, typiquement loyal mauvais",[],,,Monsters of the Multiverse,,"[""Classe d'armure"", '15 (armure naturelle)', 'Points de vie', '58 (9d8 + 18)', 'Vitesse', '9 m, vol 12 m', 'FOR', '14 (+2)', 'DEX', '17 (+3)', 'CON', '14 (+2)', 'INT', '13 (+1)', 'SAG', '16 (+3)', 'CHA', '11 (+0)', 'Jets de sauvegarde', 'Dex +6, Sag +6', 'Compétences', 'Perception +6, Discrétion +6', 'Résistances aux dégâts', ""froid ; contondant, perforant et tranchant d'attaques non magiques qui ne sont pas en argent"", 'Immunités aux dégâts', 'acide, feu, poison', 'Immunités aux états', 'empoisonné', 'Sens', 'vision dans le noir 36 m, Perception passive 16', 'Langues', 'draconique, infernal, télépathie 36 m', 'Puissance', '7 (2900 PX)', 'Bonus de maîtrise', '+3']",,,Abishaï noir,,,,https://www.aidedd.org/dnd/monstres.php?vf=abishai-noir
[],,Non spécifié,,,https://www.aidedd.org/dnd/images/red-abishai.jpg,,,,,"Fiélon (diable) de taille M, typiquement loyal mauvais",[],,,Monsters of the Multiverse,,"[""Classe d'armure"", '22 (armure naturelle)', 'Points de vie', '289 (34d8 + 136)', 'Vitesse', '9 m, vol 15 m', 'FOR', '23 (+6)', 'DEX', '16 (+3)', 'CON', '19 (+4)', 'INT', '14 (+2)', 'SAG', '15 (+2)', 'CHA', '19 (+4)', 'Jets de sauvegarde', 'For +12, Con +10, Sag +8', 'Compétences', 'Intimidation +10, Perception +8', 'Résistances aux dégâts', ""froid ; contondant, perforant et tranchant d'attaques non magiques qui ne sont pas en argent"", 'Immunités aux dégâts', 'feu, poison', 'Immunités aux états', 'empoisonné', 'Sens', 'vision dans le noir 36 m, Perception passive 18', 'Langues', 'draconique, infernal, télépathie 36 m', 'Puissance', '19 (22000 PX)', 'Bonus de maîtrise', '+6']",,,Abishaï rouge,,,,https://www.aidedd.org/dnd/monstres.php?vf=abishai-rouge
[],,Non spécifié,,,https://www.aidedd.org/dnd/images/green-abishai.jpg,,,,,"Fiélon (diable) de taille M, typiquement loyal mauvais",[],,,Monsters of the Multiverse,,"[""Classe d'armure"", '18 (armure naturelle)', 'Points de vie', '195 (26d8 + 78)', 'Vitesse', '9 m, vol 12 m', 'FOR', '12 (+1)', 'DEX', '17 (+3)', 'CON', '16 (+3)', 'INT', '17 (+3)', 'SAG', '12 (+1)', 'CHA', '19 (+4)', 'Jets de sauvegarde', 'Int +8, Cha +9', 'Compétences', 'Intuition +6, Perception +6, Persuasion +9, Tromperie +9', 'Résistances aux dégâts', ""froid ; contondant, perforant et tranchant d'attaques non magiques qui ne sont pas en argent"", 'Immunités aux dégâts', 'feu, poison', 'Immunités aux états', 'empoisonné', 'Sens', 'vision dans le noir 36 m, Perception passive 16', 'Langues', 'draconique, infernal, télépathie 36 m', 'Puissance', '15 (13000 PX)', 'Bonus de maîtrise', '+5']",,,Abishaï vert,,,,https://www.aidedd.org/dnd/monstres.php?vf=abishai-vert
"[""Attaques multiples. L'aboleth effectue trois attaques avec ses tentacules."", ""Tentacule. Attaque au corps à corps avec une arme : +9 au toucher, allonge 3 m, une cible. Touché\xa0: 12 (2d6 + 5) dégâts contondants. Si la cible est une créature, elle doit réussir un jet de sauvegarde de Constitution DD 14 ou tomber malade. Cette maladie n'a aucun effet pendant 1 minute et peut être annulée par toute magie qui soigne les maladies. Après 1 minute, le teint de la créature malade devient translucide et visqueux, la créature ne peut pas récupérer de points de vie si elle n'est pas sous l'eau, et cette maladie ne peut plus être soignée que par guérison ou tout autre sort de guérison des maladies de niveau 6 ou supérieur. Lorsque la créature est en dehors d'une étendue d'eau, elle subit 6 (1d12) dégâts d'acide toutes les 10 minutes à moins que son corps ne soit humidifié avant que 10 minutes ne se soient écoulées."", 'Queue. Attaque au corps à corps avec une arme : +9 au toucher, allonge 3 m, une cible. Touché\xa0: 15 (3d6 + 5) dégâts contondants.', ""Asservissement (3/jour). L'aboleth cible une créature qu'il peut voir dans un rayon de 9 mètres autour de lui. La cible doit réussir un jet de sauvegarde de Sagesse DD 14 ou être charmée magiquement par l'aboleth jusqu'à ce que l'aboleth ne meure ou se trouve sur un plan d'existence différent de celui de la cible. La cible charmée est sous le contrôle de l'aboleth et ne peut pas utiliser de réaction, de plus l'aboleth et la cible peuvent communiquer par télépathie entre eux quelle que soit la distance. Chaque fois que la cible subit des dégâts, elle peut retenter son jet de sauvegarde. Si elle le réussit, l'effet se termine. Pas plus d'une fois toutes les 24 heures, la cible peut également retenter son jet de sauvegarde lorsqu'elle se trouve à plus de 1,5 kilomètre de l'aboleth."", ""L'aboleth peut effectuer 3 actions légendaires, en choisissant parmi les options suivantes. Une seule action légendaire peut être utilisée à la fois, et seulement à la fin du tour d'une autre créature. L'aboleth récupère les actions légendaires dépensées au début de son tour."", ""Détection. L'aboleth effectue un jet de Sagesse (Perception)."", ""Attaque avec la queue. L'aboleth effectue une attaque avec sa queue."", ""Absorption psychique (coûte 2 actions). Une créature charmée par l'aboleth subit 10 (3d6) dégâts psychiques, et l'aboleth récupère un montant de point de vie égal aux dégâts que cette créature a subis.""]",,,,,https://www.aidedd.org/dnd/images/aboleth.jpg,,,,,"Aberration de taille G, loyal mauvais",[],,"[""Attaques multiples. L'aboleth effectue trois attaques avec ses tentacules."", ""Tentacule. Attaque au corps à corps avec une arme : +9 au toucher, allonge 3 m, une cible. Touché\xa0: 12 (2d6 + 5) dégâts contondants. Si la cible est une créature, elle doit réussir un jet de sauvegarde de Constitution DD 14 ou tomber malade. Cette maladie n'a aucun effet pendant 1 minute et peut être annulée par toute magie qui soigne les maladies. Après 1 minute, le teint de la créature malade devient translucide et visqueux, la créature ne peut pas récupérer de points de vie si elle n'est pas sous l'eau, et cette maladie ne peut plus être soignée que par guérison ou tout autre sort de guérison des maladies de niveau 6 ou supérieur. Lorsque la créature est en dehors d'une étendue d'eau, elle subit 6 (1d12) dégâts d'acide toutes les 10 minutes à moins que son corps ne soit humidifié avant que 10 minutes ne se soient écoulées."", 'Queue. Attaque au corps à corps avec une arme : +9 au toucher, allonge 3 m, une cible. Touché\xa0: 15 (3d6 + 5) dégâts contondants.', ""Asservissement (3/jour). L'aboleth cible une créature qu'il peut voir dans un rayon de 9 mètres autour de lui. La cible doit réussir un jet de sauvegarde de Sagesse DD 14 ou être charmée magiquement par l'aboleth jusqu'à ce que l'aboleth ne meure ou se trouve sur un plan d'existence différent de celui de la cible. La cible charmée est sous le contrôle de l'aboleth et ne peut pas utiliser de réaction, de plus l'aboleth et la cible peuvent communiquer par télépathie entre eux quelle que soit la distance. Chaque fois que la cible subit des dégâts, elle peut retenter son jet de sauvegarde. Si elle le réussit, l'effet se termine. Pas plus d'une fois toutes les 24 heures, la cible peut également retenter son jet de sauvegarde lorsqu'elle se trouve à plus de 1,5 kilomètre de l'aboleth."", ""L'aboleth peut effectuer 3 actions légendaires, en choisissant parmi les options suivantes. Une seule action légendaire peut être utilisée à la fois, et seulement à la fin du tour d'une autre créature. L'aboleth récupère les actions légendaires dépensées au début de son tour."", ""Détection. L'aboleth effectue un jet de Sagesse (Perception)."", ""Attaque avec la queue. L'aboleth effectue une attaque avec sa queue."", ""Absorption psychique (coûte 2 actions). Une créature charmée par l'aboleth subit 10 (3d6) dégâts psychiques, et l'aboleth récupère un montant de point de vie égal aux dégâts que cette créature a subis.""]",Monster Manual (SRD),,"[""Classe d'armure"", '17 (armure naturelle)', 'Points de vie', '135 (18d10 + 36)', 'Vitesse', '3 m, nage 12 m', 'FOR', '21 (+5)', 'DEX', '9 (-1)', 'CON', '15 (+2)', 'INT', '18 (+4)', 'SAG', '15 (+2)', 'CHA', '18 (+4)', 'Jets de sauvegarde', 'Con +6, Int +8, Sag +6', 'Compétences', 'Histoire +12, Perception +10', 'Sens', 'vision dans le noir 36 m, Perception passive 20', 'Langues', 'profond, télépathie 36 m', 'Puissance', '10 (5900 PX)']",,,Aboleth,,,,https://www.aidedd.org/dnd/monstres.php?vf=aboleth
[],,Non spécifié,,,https://www.aidedd.org/dnd/images/dragonflesh-abomination.jpg,,,,,"Monstruosité de taille TG, typiquement neutre mauvais",[],,,Fizban´s Treasury of Dragons,,"[""Classe d'armure"", '15 (armure naturelle)', 'Points de vie', '66 (7d12 + 21)', 'Vitesse', '9 m, vol 12 m', 'FOR', '18 (+4)', 'DEX', '14 (+2)', 'CON', '17 (+3)', 'INT', '5 (-3)', 'SAG', '12 (+1)', 'CHA', '6 (-2)', 'Jets de sauvegarde', 'For +7, Con +6', 'Immunités aux états', 'charmé, effrayé, empoisonné', 'Sens', 'Perception passive 11', 'Langues', 'comprend le commun et le draconique mais ne peut pas parler', 'Puissance', '6 (2300 PX)', 'Bonus de maîtrise', '+3']",,,Abomination transdraconique,,,,https://www.aidedd.org/dnd/monstres.php?vf=abomination-transdraconique
,,"Le sort capte une partie de l'énergie entrante, ce qui réduit son effet sur vous et la stocke pour votre prochaine attaque au corps à corps. Vous obtenez une résistance à ce type de dégâts jusqu'au début de votre prochain tour. De plus, la première fois que vous touchez avec une attaque au corps à corps lors de votre prochain tour, la cible subit 1d6 dégâts supplémentaires du type d'élément ciblé, et le sort se termine. Aux niveaux supérieurs . Lorsque vous lancez ce sort en utilisant un emplacement de sort de niveau 2 ou supérieur, les dégâts supplémentaires augmentent de 1d6 pour chaque niveau d'emplacement au-delà du niveau 1.",,,,,,,,Aucun,,,,Xanathar´s Guide to Everything,,,,,Absorption des éléments,,,,https://www.aidedd.org/dnd/sorts.php?vf=absorption-des-elements
"['Gourdin. Attaque au corps à corps avec une arme : +2 au toucher, allonge 1,50 m, une cible. Touché\xa0: 2 (1d4) dégâts contondants.']",,"Les acolytes sont de jeunes membres d'un clergé, généralement responsables devant un prêtre. Ils effectuent une variété de fonctions au sein d'un temple et leur divinité leur accorde des sorts de faible puissance.",,,,,,,,"Humanoïde (toute race) de taille M, tout alignement",[],,"['Gourdin. Attaque au corps à corps avec une arme : +2 au toucher, allonge 1,50 m, une cible. Touché\xa0: 2 (1d4) dégâts contondants.']",Monster Manual (SRD),,"[""Classe d'armure"", '10', 'Points de vie', '9 (2d8)', 'Vitesse', '9 m', 'FOR', '10 (+0)', 'DEX', '10 (+0)', 'CON', '10 (+0)', 'INT', '10 (+0)', 'SAG', '14 (+2)', 'CHA', '11 (+0)', 'Compétences', 'Médecine +4, Religion +2', 'Sens', 'Perception passive 12', 'Langues', 'une langue au choix (généralement le commun)', 'Puissance', '1/4 (50 PX)']",,,Acolyte,,,,https://www.aidedd.org/dnd/monstres.php?vf=acolyte
